"","array","site","RADIUS","black.bear","fisher","lynx","white.tailed.deer","grey.wolf","moose","red.fox","caribou","coyote","cougar","absent_fisher","absent_lynx","absent_white.tailed.deer","absent_grey.wolf","absent_moose","absent_red.fox","absent_caribou","absent_coyote","absent_cougar","absent_black.bear","BORROWPIT_DRY","BORROWPIT_WET","BORROWPITS","CAMP_INDUSTRIAL","CLEARING_UNKNOWN","CLEARING_WELLPAD_UNCONFIRMED","CONVENTIONAL_SEISMIC","COUNTRY_RESIDENCE","FACILITY_OTHER","FACILITY_UNKNOWN","GRVL_SAND_PIT","HARVEST_AREA","LOW_IMPACT_SEISMIC","MISC_OIL_GAS_FACILITY","OIL_GAS_PLANT","OPEN_PIT_MINE","RLWY_SGL_TRACK","ROAD_GRAVEL_1L","ROAD_GRAVEL_2L","ROAD_PAVED_UNDIV_1L","ROAD_PAVED_UNDIV_2L","ROAD_UNCLASSIFIED","ROAD_UNIMPROVED","RUNWAY","RURAL_RESIDENCE","SUMP","SURROUNDING_VEG","TRAIL","TRUCK_TRAIL","VEGETATED_EDGE_RAILWAYS","VEGETATED_EDGE_ROADS","WELL_ABAND","WELL_CASED","WELL_CLEARED_NOT_DRILLED","WELL_GAS","WELL_OTHER","PIPELINE","TRANSMISSION_LINE","Grasslands","Agriculture","Water","Coniferous","Broadleaf","Mixed","Exposed_land","Developed","Shrubland"
"1","LU01","LU01_06",250,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
"2","LU01","LU01_06",500,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.375,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
"3","LU01","LU01_06",750,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.529411764705882,0,0,0,0,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667
"4","LU01","LU01_06",1000,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.5,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.5
"5","LU01","LU01_06",1250,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.388888888888889,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0.0277777777777778,0,0,0,0,0.0833333333333333,0,0.125,0,0,0.125,0.25,0.25,0,0,0.25
"6","LU01","LU01_06",1500,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.387755102040816,0,0,0,0,0.102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408163265306122,0,0,0,0.0408163265306122,0,0,0,0,0.0612244897959184,0,0.0769230769230769,0,0,0.153846153846154,0.230769230769231,0.153846153846154,0,0,0.384615384615385
"7","LU01","LU01_06",1750,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.375,0,0,0,0,0.0875,0,0,0,0,0,0,0.0125,0,0,0.0125,0,0,0,0,0,0.3125,0.0125,0,0.0625,0.0375,0,0,0,0,0.0875,0,0.0555555555555556,0,0,0.166666666666667,0.277777777777778,0.111111111111111,0,0.0555555555555556,0.333333333333333
"8","LU01","LU01_06",2000,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.349514563106796,0,0,0,0,0.116504854368932,0,0,0,0,0,0,0.00970873786407767,0,0,0.00970873786407767,0,0,0.00970873786407767,0,0,0.262135922330097,0.00970873786407767,0,0.0970873786407767,0.0388349514563107,0,0,0,0,0.0679611650485437,0,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.125,0.25,0.125,0,0.0416666666666667,0.291666666666667
"9","LU01","LU01_06",2250,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.3203125,0,0,0,0,0.1328125,0,0,0,0,0,0,0.015625,0,0,0.0078125,0,0,0.015625,0,0,0.2578125,0.0078125,0,0.1015625,0.0390625,0,0,0,0,0.0546875,0,0.0625,0.03125,0.0625,0.1875,0.21875,0.15625,0,0.03125,0.25
"10","LU01","LU01_06",2500,7,5,0,12,0,3,0,0,4,0,9,14,2,14,11,14,14,10,14,3,0,0,0,0,0,0,0.304054054054054,0,0,0,0,0.135135135135135,0,0,0,0,0,0,0.0135135135135135,0,0,0.00675675675675676,0.00675675675675676,0,0.0135135135135135,0,0,0.263513513513513,0.00675675675675676,0,0.114864864864865,0.0405405405405405,0,0,0,0,0.0540540540540541,0,0.05,0.025,0.05,0.2,0.225,0.2,0,0.025,0.225
